version https://git-lfs.github.com/spec/v1
oid sha256:24c72ec44036ff9ad371650afed24da5f366ed220684d17676c080fdfd6be91c
size 207193
time,symbol,open,close,high,low,volume,category
2020-02-26,SENSITIVE,327.02,336.05,336.4,327.02,4588530000,index
2020-02-27,SENSITIVE,336.54,347.68,346.76,328.73,4777270000,index
2020-03-01,SENSITIVE,349.73,340.64,358.34,340.64,5211580000,index
2020-03-02,SENSITIVE,340.82,321.43,341.03,321.43,2308910000,index
2020-03-03,SENSITIVE,320.96,324.04,330.14,309.61,4156260000,index
2020-03-04,SENSITIVE,324.04,308.87,324.33,308.81,3226920000,index
2020-03-05,SENSITIVE,309.4,307.72,313.69,301.77,2643270000,index
2020-03-10,SENSITIVE,307.76,290.36,308.25,290.36,1140950000,index
2020-03-11,SENSITIVE,290.6,304.69,304.69,290.6,2409640000,index
2020-03-12,SENSITIVE,304.74,295.5,306.48,294.11,2338590000,index
2020-03-15,SENSITIVE,292.32,282.62,292.32,282.21,2186430000,index
2020-03-16,SENSITIVE,282.62,283.12,287.33,278.64,1694900000,index
2020-03-17,SENSITIVE,283.12,274.59,283.99,273.37,1576300000,index
2020-03-18,SENSITIVE,274.59,271.79,278.04,266.62,1255910000,index
2020-03-19,SENSITIVE,270.69,273.82,275.99,265.51,2229240000,index
2020-03-22,SENSITIVE,273.83,271.06,275.47,269.98,203018000,index
2020-05-12,SENSITIVE,271.03,265.67,271.03,265.67,100241000,index
2020-05-13,SENSITIVE,265.49,260.32,265.49,260.32,3631580,index
2020-06-29,SENSITIVE,259.5,256.29,259.7,249.85,361076000,index
2020-06-30,SENSITIVE,255.87,271.92,271.92,255.65,252282000,index
2020-07-01,SENSITIVE,272.91,287.02,287.02,272.91,360993000,index
2020-07-02,SENSITIVE,288.96,269.03,292.32,269.03,445725000,index
2020-07-05,SENSITIVE,269.03,269.58,273.68,266.37,870601000,index
2020-07-06,SENSITIVE,269.72,275.88,275.88,268.1,766265000,index
2020-07-07,SENSITIVE,276.26,282.59,284.64,276.26,1208330000,index
2020-07-08,SENSITIVE,282.59,279.95,283.65,278.08,796145000,index
2020-07-09,SENSITIVE,279.95,280.49,280.63,276.88,796836000,index
2020-07-12,SENSITIVE,280.97,281.42,284.16,279.96,1061070000,index
2020-07-13,SENSITIVE,282.34,282.23,284.52,280.2,967894000,index
2020-07-14,SENSITIVE,283.06,284.18,284.43,282.26,924974000,index
2020-07-15,SENSITIVE,284.18,288.24,289.49,284.17,1131960000,index
2020-07-16,SENSITIVE,288.17,295.06,295.67,288.17,1020600000,index
2020-07-19,SENSITIVE,298.37,312.44,312.44,298.37,32598000,index
2020-07-20,SENSITIVE,325.47,309.6,330.06,309.08,2816140000,index
2020-07-21,SENSITIVE,312.11,307.05,313.32,305.0,1883900000,index
2020-07-22,SENSITIVE,307.37,303.14,309.23,302.43,1303170000,index
2020-07-23,SENSITIVE,303.59,303.9,304.58,298.86,1219540000,index
2020-07-26,SENSITIVE,303.98,307.53,307.93,303.95,1855530000,index
2020-07-27,SENSITIVE,307.53,307.31,309.7,305.94,1663170000,index
2020-07-28,SENSITIVE,307.2,305.67,307.89,304.56,1185740000,index
2020-07-29,SENSITIVE,304.58,300.49,304.74,300.54,1599440000,index
2020-07-30,SENSITIVE,300.64,300.95,302.88,297.91,1122380000,index
2020-08-02,SENSITIVE,301.1,292.77,301.1,292.57,1706200000,index
2020-08-03,SENSITIVE,292.77,294.24,295.76,290.06,891972000,index
2020-08-06,SENSITIVE,290.89,289.55,290.89,286.45,811684000,index
2020-08-09,SENSITIVE,289.61,291.02,291.02,285.47,776799000,index
2020-08-10,SENSITIVE,290.76,298.64,298.64,290.76,1483320000,index
2020-08-11,SENSITIVE,299.0,297.27,300.84,296.48,1222760000,index
2020-08-12,SENSITIVE,297.76,297.29,297.88,295.38,969560000,index
2020-08-13,SENSITIVE,297.38,293.84,297.38,293.57,1013860000,index
2020-08-16,SENSITIVE,292.72,288.86,292.72,287.14,1261610000,index
2020-08-17,SENSITIVE,288.95,290.0,290.0,287.03,1074720000,index
2020-08-18,SENSITIVE,290.05,289.77,291.47,288.66,1116660000,index
2020-08-19,SENSITIVE,289.31,287.07,289.41,286.0,921283000,index
2020-08-20,SENSITIVE,287.95,288.36,290.3,287.95,376532000,index
2020-08-23,SENSITIVE,288.36,289.55,289.65,287.51,1091130000,index
2020-08-24,SENSITIVE,289.81,293.14,293.31,289.81,2071610000,index
2020-08-25,SENSITIVE,294.29,293.97,295.68,293.05,1671780000,index
2020-08-26,SENSITIVE,295.04,298.74,299.37,294.47,2446850000,index
2020-08-27,SENSITIVE,299.22,297.1,300.61,296.67,1816570000,index
2020-08-30,SENSITIVE,297.34,296.29,297.34,294.25,1194200000,index
2020-08-31,SENSITIVE,296.18,298.35,299.08,296.18,3367740000,index
2020-09-02,SENSITIVE,301.72,304.6,305.68,300.1,3912380000,index
