source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
GBIME,HBL,0.8672541939034771,0.8672541939034771,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225
SBI,SBL,0.8654246193790631,0.8654246193790631,positive,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
HBL,MBL,0.8652382173069451,0.8652382173069451,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464
GBIME,MBL,0.8623719283435292,0.8623719283435292,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464
KBL,PCBL,0.857428300364684,0.857428300364684,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
EBL,PCBL,0.8534592394693451,0.8534592394693451,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
PCBL,SBI,0.8515340002944909,0.8515340002944909,positive,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
KBL,SBL,0.8510374865549638,0.8510374865549638,positive,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
NABIL,SCB,0.8489345736135142,0.8489345736135142,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
NABIL,SBI,0.847743766990317,0.847743766990317,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
