bank_code,year_month,close,high,low,per_change,traded_quantity,traded_amount
PCBL,2026-02,236.65,242.0,232.0,-0.35,207315.0,49169126.0
PRVU,2015-02,330.22,349.0,310.0,1.16,702777.0,229036888.0
PRVU,2015-03,337.29,360.0,324.0,-0.23,642680.0,218529646.0
PRVU,2015-04,344.31,362.0,327.0,0.25,380273.0,130396050.0
PRVU,2015-05,293.83,339.0,270.0,-1.56,100478.0,29294344.0
PRVU,2015-06,328.58,359.0,308.0,0.14,545211.0,180496470.0
PRVU,2015-07,347.47,431.0,310.0,0.92,641156.0,232146399.0
PRVU,2015-08,416.64,497.0,365.0,0.76,1173203.0,504366341.0
PRVU,2015-09,423.63,450.0,393.0,-0.32,519794.0,221125949.0
PRVU,2016-10,438.0,438.0,406.0,5.54,5050.0,2211100.0
PRVU,2017-01,331.75,430.0,281.0,-3.06,926757.0,302497001.0
PRVU,2017-02,305.84,330.0,281.0,0.13,1311657.0,399275441.0
PRVU,2017-03,332.42,413.0,303.0,1.28,1420752.0,490246495.0
PRVU,2017-04,423.42,460.0,390.0,0.55,2189388.0,928995326.0
PRVU,2017-05,418.83,436.0,405.0,-0.2,861261.0,360213299.0
PRVU,2017-06,405.74,430.0,389.0,-0.14,560314.0,227583981.0
PRVU,2017-07,402.55,418.0,388.0,-0.0,579755.0,233679184.0
PRVU,2017-08,392.35,409.0,374.0,-0.29,618690.0,243736700.0
PRVU,2017-09,366.93,390.0,347.0,0.21,281002.0,102440804.0
PRVU,2017-10,374.56,392.0,355.0,-0.21,210018.0,78409110.0
PRVU,2017-11,351.05,370.0,339.0,-0.2,441650.0,155431278.0
PRVU,2017-12,346.0,369.0,316.0,-0.53,419146.0,142315785.0
PRVU,2018-01,258.53,332.0,228.0,-1.56,748482.0,220472490.0
PRVU,2018-02,230.56,245.0,224.0,-0.13,1252241.0,284852600.0
PRVU,2018-03,213.94,224.0,196.0,-0.36,332904.0,70729652.0
PRVU,2018-04,221.1,250.0,205.0,0.08,477371.0,107614518.0
PRVU,2018-05,214.86,226.0,205.0,-0.1,293094.0,62583704.0
PRVU,2018-06,195.79,215.0,183.0,-0.65,305699.0,60008171.0
PRVU,2018-07,184.35,196.0,175.0,0.04,312527.0,57513936.0
PRVU,2018-08,184.19,192.0,177.0,-0.12,206137.0,38008247.0
PRVU,2018-09,210.21,254.0,180.0,1.56,2186737.0,484542411.0
PRVU,2018-10,240.3,255.0,223.0,0.16,1601779.0,388773347.0
PRVU,2018-11,249.89,259.0,242.0,0.03,1147083.0,288280289.0
PRVU,2018-12,247.59,261.0,235.0,0.08,1155663.0,287131040.0
PRVU,2019-01,243.52,252.0,237.0,-0.13,783468.0,190428594.0
PRVU,2019-02,225.37,245.0,205.0,-0.21,560732.0,127477072.0
PRVU,2019-03,230.21,241.0,210.0,0.59,730463.0,169097358.0
PRVU,2019-04,265.62,304.0,237.0,0.91,2383837.0,643882616.0
PRVU,2019-05,281.38,300.0,270.0,-0.06,2737689.0,763787145.0
PRVU,2019-06,269.16,285.0,265.0,-0.34,1982796.0,535603427.0
PRVU,2019-07,269.87,285.0,257.0,0.18,1710140.0,464003065.0
PRVU,2019-08,269.1,279.0,261.0,-0.26,915493.0,246486876.0
PRVU,2019-09,261.73,272.0,255.0,0.02,937496.0,244799223.0
PRVU,2019-10,265.57,275.0,262.0,0.14,1000813.0,266687698.0
PRVU,2019-11,240.05,272.0,221.0,-0.83,1319271.0,334948803.0
PRVU,2019-12,225.13,232.0,219.0,-0.02,716629.0,161033708.0
PRVU,2020-01,244.0,270.0,223.0,0.8,2666000.0,663784530.0
PRVU,2020-02,254.65,290.0,240.0,0.39,3340395.0,869006307.0
PRVU,2020-03,245.29,292.0,212.0,-1.62,2841095.0,724971229.0
PRVU,2020-05,218.0,221.0,215.0,-2.24,1010.0,217230.0
PRVU,2020-06,214.0,226.0,195.0,1.32,60294.0,12256026.0
PRVU,2020-07,237.18,276.0,206.0,0.48,1465902.0,352165072.0
PRVU,2020-08,231.43,255.0,222.0,-0.16,1159016.0,269020913.0
PRVU,2020-09,234.0,249.0,226.0,0.09,2023136.0,477376915.0
PRVU,2020-10,245.17,275.0,227.0,0.62,2738636.0,690373337.0
PRVU,2020-11,297.58,400.0,250.0,1.82,8571127.0,2691916744.0
PRVU,2020-12,351.04,397.0,319.0,0.27,9110688.0,3229503526.0
PRVU,2021-01,419.9,474.0,359.0,0.95,10344978.0,4356879143.0
PRVU,2021-02,466.15,514.0,420.0,0.3,9109549.0,4268514513.0
PRVU,2021-03,441.05,469.0,424.0,0.09,3706218.0,1639481018.0
PRVU,2021-04,447.53,479.0,423.0,-0.24,3781758.0,1699180608.0
PRVU,2021-05,440.71,475.0,426.0,0.16,3251214.0,1448833919.0
PRVU,2021-06,459.68,500.0,439.0,0.05,6497647.0,3015675049.0
PRVU,2021-07,471.63,525.0,444.0,0.44,4330778.0,2101757780.5
PRVU,2021-08,477.24,510.0,441.0,-0.48,4100924.0,1964338007.9
PRVU,2021-09,423.96,455.0,383.2,-0.48,2817999.0,1198090907.6
PRVU,2021-10,391.07,410.0,369.0,-0.04,1060329.0,414606755.0
PRVU,2021-11,368.42,397.0,342.5,-0.65,1180190.0,436832179.1
PRVU,2021-12,318.5,351.0,285.0,-0.16,1631291.0,520280231.6
PRVU,2022-01,335.55,377.0,300.1,0.49,3326517.0,1131404978.1
PRVU,2022-02,313.99,339.9,298.2,-0.54,1653633.0,520638020.6
PRVU,2022-03,298.38,311.0,288.0,-0.14,1327357.0,395147898.4
PRVU,2022-04,274.79,322.0,259.5,-0.53,860021.0,236478968.9
PRVU,2022-05,255.19,272.0,242.0,-0.31,774120.0,196718909.0
PRVU,2022-06,226.97,250.0,211.0,-0.45,1094512.0,245952636.6
PRVU,2022-07,216.76,234.9,200.5,0.18,1853998.0,405161380.4
PRVU,2022-08,210.33,275.0,202.0,-0.48,1336615.0,285444887.7
PRVU,2022-09,202.18,210.5,193.2,-0.07,622746.0,125501047.3
PRVU,2022-10,204.24,214.4,198.0,0.59,603836.0,122753723.8
PRVU,2022-11,214.95,227.0,206.4,-0.08,858144.0,185762857.1
PRVU,2022-12,197.04,211.0,185.0,0.03,900455.0,177872786.7
PRVU,2023-01,202.96,228.0,193.0,-0.12,1630097.0,335979548.9
PRVU,2023-02,192.17,206.0,185.0,-0.17,735470.0,142146543.3
PRVU,2023-03,180.32,192.0,170.6,-0.44,917901.0,164085121.1
PRVU,2023-04,170.2,183.4,165.1,-0.14,1459543.0,248640507.6
PRVU,2023-05,165.53,171.7,159.0,-0.21,1465660.0,242300186.4
PRVU,2023-06,163.28,175.0,158.7,0.25,2564296.0,420101508.1
